Student ID,Email,CGPA,Performance,Risk Level,Password
STU0142,student142@university.edu,8.8,Good,Low,p7=o&w6_w%
STU0143,student143@university.edu,8.94,Good,Low,"""R.4wuRb%&"
STU0144,student144@university.edu,9.92,Good,Low,M*N[a>KvO\
STU0145,student145@university.edu,9.67,Good,Low,+Eh)g^V=Vd
STU0146,student146@university.edu,9.87,Good,Low,qd5[G.WM8S
STU0147,student147@university.edu,3.43,Poor,High,Oj+LeZa1rQ
STU0148,student148@university.edu,6.57,Average,Medium,3(EqEVlaEt
STU0149,student149@university.edu,7.04,Good,Low,0bhqLshsa-
STU0150,student150@university.edu,7.64,Good,Low,A>v6Iw%]${
STU0151,student151@university.edu,3.34,Poor,High,CuXSxYeW#1
STU0152,student152@university.edu,7.34,Good,Low,>63!'s+-{z
STU0153,student153@university.edu,4.74,Poor,High,S4)*=TX'uC
STU0154,student154@university.edu,9.06,Good,Low,U4TI0<|+MQ
STU0155,student155@university.edu,8.55,Good,Low,QERR^[a}'J
STU0156,student156@university.edu,5.46,Average,Medium,+1Y]U2xOJ\
STU0157,student157@university.edu,8.69,Good,Low,9X\';1FEW2
STU0158,student158@university.edu,7.55,Good,Low,p==]::urm*
STU0159,student159@university.edu,9.56,Good,Low,!ovMr2zo9;
STU0160,student160@university.edu,5.41,Average,Medium,'|FHG-mCaU
STU0161,student161@university.edu,5.56,Average,Medium,@>go/hh~U/
STU0162,student162@university.edu,8.99,Good,Low,l%2Y0YpBW3
STU0163,student163@university.edu,5.32,Average,Medium,mqq+g<'Xk0
STU0164,student164@university.edu,6.95,Average,Medium,k&I6oQpr#E
STU0165,student165@university.edu,6.26,Average,Medium,zsio<n)@Q<
STU0166,student166@university.edu,3.73,Poor,High,n`4x$!W2{J
STU0167,student167@university.edu,4.41,Poor,High,"\cr?Tb4W,="
STU0168,student168@university.edu,9.64,Good,Low,G9HZV#7{SG
STU0169,student169@university.edu,3.85,Poor,High,ALjG/ij04q
STU0170,student170@university.edu,8.12,Good,Low,yO&&JTK+oO
STU0171,student171@university.edu,4.62,Poor,High,_Ygb4iuMAj
STU0172,student172@university.edu,6.42,Average,Medium,kW~o^Of+;A
STU0173,student173@university.edu,4.31,Poor,High,}uKKPv`\[q
STU0174,student174@university.edu,6.41,Average,Medium,Y{63{-EVvk
STU0175,student175@university.edu,8.19,Good,Low,fub-4+jT8H
STU0176,student176@university.edu,4.51,Poor,High,/`_K6Fp+Pr
STU0177,student177@university.edu,8.97,Good,Low,.[8UP73txA
STU0178,student178@university.edu,7.87,Good,Low,B)vnUrM4\d
STU0179,student179@university.edu,3.49,Poor,High,($q;oci!&r
STU0180,student180@university.edu,8.0,Good,Low,"%B.B.,!C@r"
STU0181,student181@university.edu,6.68,Average,Medium,lL$8eNUKA{
STU0182,student182@university.edu,4.31,Poor,High,(+9\f6+e6D
STU0183,student183@university.edu,6.27,Average,Medium,lgp|x#'hnn
STU0184,student184@university.edu,4.75,Poor,High,tX9cLM&2p`
STU0185,student185@university.edu,8.35,Good,Low,P1hXQ/^|KR
STU0186,student186@university.edu,7.75,Good,Low,"Cs,W""se*_j"
STU0187,student187@university.edu,6.86,Average,Medium,'f?a8'X:pR
STU0188,student188@university.edu,9.36,Good,Low,mJ0b\)A`us
STU0189,student189@university.edu,4.94,Poor,High,t<ECd-@phB
STU0190,student190@university.edu,7.68,Good,Low,hk)PQrG=wE
STU0191,student191@university.edu,7.76,Good,Low,b)IV^DZq(c
STU0192,student192@university.edu,3.41,Poor,High,+.x[@IdQeV
STU0193,student193@university.edu,7.66,Good,Low,"j|}?6*Z,(h"
STU0194,student194@university.edu,7.98,Good,Low,M00~e;-8=r
STU0195,student195@university.edu,8.53,Good,Low,l?nY{CeRA(
STU0196,student196@university.edu,8.5,Good,Low,Kq'F1_%(Ci
STU0197,student197@university.edu,7.38,Good,Low,!)%6m>VG~[
STU0198,student198@university.edu,3.37,Poor,High,k#%l4s[&vl
STU0199,student199@university.edu,3.22,Poor,High,_Ky`)K[V(b
STU0200,student200@university.edu,6.79,Average,Medium,`G^X}aYTA6
STU0201,student201@university.edu,7.18,Good,Low,"[]vu""=BEUV"
STU0202,student202@university.edu,5.37,Average,Medium,LH&Sy^=W<x
STU0203,student203@university.edu,3.16,Poor,High,",spbk8piGZ"
STU0204,student204@university.edu,5.94,Average,Medium,0YGzrU-+{E
STU0205,student205@university.edu,7.4,Good,Low,"L).Z;n8,(J"
STU0206,student206@university.edu,7.49,Good,Low,vd!*{i|[{<
STU0207,student207@university.edu,9.4,Good,Low,EsekGNQ1Pd
STU0208,student208@university.edu,9.01,Good,Low,b8+0-Z&7<N
STU0209,student209@university.edu,3.11,Poor,High,tQ<0`Id$^0
STU0210,student210@university.edu,8.65,Good,Low,"#AC,\;E>.\"
STU0211,student211@university.edu,3.29,Poor,High,XMbB?GJt+p
STU0212,student212@university.edu,9.83,Good,Low,W@IyF2!'\J
STU0213,student213@university.edu,5.7,Average,Medium,nS2.W3y20[
STU0214,student214@university.edu,7.77,Good,Low,lne{O*P:<:
STU0215,student215@university.edu,9.91,Good,Low,{S)pOF=\m^
STU0216,student216@university.edu,10.0,Good,Low,"HO<,|lELR#"
STU0217,student217@university.edu,5.05,Average,Medium,&tjoIgd\QU
STU0218,student218@university.edu,3.31,Poor,High,%kWy%G0$Ro
STU0219,student219@university.edu,5.65,Average,Medium,~QUIoxO|=m
STU0220,student220@university.edu,6.16,Average,Medium,:'sKysq2jx
STU0221,student221@university.edu,5.23,Average,Medium,LptDlz-w4W
STU0222,student222@university.edu,6.99,Average,Medium,",2.HAW]R""]"
STU0223,student223@university.edu,7.28,Good,Low,rTe?|tg-|X
STU0224,student224@university.edu,3.74,Poor,High,"^iJU:[^Ez,"
STU0225,student225@university.edu,6.74,Average,Medium,"Z""4ToEQo?Q"
STU0226,student226@university.edu,4.46,Poor,High,VU(=r[.0m<
STU0227,student227@university.edu,9.93,Good,Low,fH4_^tDePb
STU0228,student228@university.edu,6.85,Average,Medium,;BT0<1&U_(
STU0229,student229@university.edu,7.7,Good,Low,)*\ZpC^$e1
STU0230,student230@university.edu,9.67,Good,Low,i1N\4jkWTO
STU0231,student231@university.edu,3.01,Poor,High,'^D8oZXZ5f
STU0232,student232@university.edu,9.37,Good,Low,1T%_RYeIl@
STU0233,student233@university.edu,8.22,Good,Low,HAg-O}\}e/
STU0234,student234@university.edu,7.47,Good,Low,t~*0AmEG2m
STU0235,student235@university.edu,8.51,Good,Low,>KUXOzN>x\
STU0236,student236@university.edu,4.35,Poor,High,uL3%E>P0A8
STU0237,student237@university.edu,8.73,Good,Low,1oDeQKrhJ-
STU0238,student238@university.edu,3.5,Poor,High,iA^v}1Q('1
STU0239,student239@university.edu,6.73,Average,Medium,"*""4G+i3^|="
STU0240,student240@university.edu,6.25,Average,Medium,]A<JyMF|xA
STU0241,student241@university.edu,8.55,Good,Low,t2;/NpwuJk
STU0242,student242@university.edu,9.19,Good,Low,5X@M/[O|=M
STU0243,student243@university.edu,9.29,Good,Low,OO7wLPJQ6i
STU0244,student244@university.edu,9.85,Good,Low,BS=^UH{T7p
STU0245,student245@university.edu,7.67,Good,Low,"-b(|3^,sS^"
STU0246,student246@university.edu,4.53,Poor,High,"D3""G5//t*$"
STU0247,student247@university.edu,5.04,Average,Medium,R4No'vY9P(
STU0248,student248@university.edu,4.52,Poor,High,%}%adj[cY{
STU0249,student249@university.edu,4.46,Poor,High,^)4VJL/!*n
STU0250,student250@university.edu,6.91,Average,Medium,V;.bJr4.W7
STU0251,student251@university.edu,4.79,Poor,High,mWvi(@1pP7
STU0252,student252@university.edu,3.13,Poor,High,"GllL<rI""7*"
STU0253,student253@university.edu,6.29,Average,Medium,DD;#jjz|ig
STU0254,student254@university.edu,6.95,Average,Medium,-\^YXky70]
STU0255,student255@university.edu,5.47,Average,Medium,A(fJ$K+}B2
STU0256,student256@university.edu,6.11,Average,Medium,"ovZm`GK""0N"
STU0257,student257@university.edu,5.18,Average,Medium,Oz*IPQ+_X*
STU0258,student258@university.edu,7.77,Good,Low,]mjioo]}!;
STU0259,student259@university.edu,6.39,Average,Medium,d:c/V@9u)@
STU0260,student260@university.edu,4.26,Poor,High,AAn9?P<OPp
STU0261,student261@university.edu,5.98,Average,Medium,H}:u@Qf1+@
STU0262,student262@university.edu,8.55,Good,Low,]XFD>HYL?d
STU0263,student263@university.edu,8.24,Good,Low,qe}p>H+h=N
STU0264,student264@university.edu,9.88,Good,Low,'RdKJ0@#%Z
STU0265,student265@university.edu,6.19,Average,Medium,Sq-7RV)qBL
STU0266,student266@university.edu,4.43,Poor,High,7lCXve~A`N
STU0267,student267@university.edu,8.84,Good,Low,wg(_f4#TME
STU0268,student268@university.edu,6.13,Average,Medium,"ROs(rt,8U1"
STU0269,student269@university.edu,4.65,Poor,High,/S(1I`t8Do
STU0270,student270@university.edu,8.28,Good,Low,"^xcM,z_""(@"
STU0271,student271@university.edu,9.84,Good,Low,>'LAzsF1/D
STU0272,student272@university.edu,6.4,Average,Medium,CW0b(^]n\m
STU0273,student273@university.edu,6.6,Average,Medium,ePf`J7Ks$9
STU0274,student274@university.edu,7.25,Good,Low,"Q""&QJ|05B0"
STU0275,student275@university.edu,7.54,Good,Low,[jMS{@OM'w
STU0276,student276@university.edu,8.49,Good,Low,`Bxcu3mT5\
STU0277,student277@university.edu,8.06,Good,Low,Ynf[0Q;X6f
STU0278,student278@university.edu,8.99,Good,Low,ZVG{-E8&a8
STU0279,student279@university.edu,4.31,Poor,High,YQ`i=m~H5|
STU0280,student280@university.edu,6.02,Average,Medium,Y}SmX;_E\S
STU0281,student281@university.edu,6.39,Average,Medium,e_WI{@j\y\
STU0282,student282@university.edu,4.57,Poor,High,"J)X,J2C2Ce"
STU0283,student283@university.edu,6.81,Average,Medium,BwQ;L1>VZ1
STU0284,student284@university.edu,7.18,Good,Low,4FZ%1fH5qB
STU0285,student285@university.edu,7.04,Good,Low,"}3HVtoJ9k,"
STU0286,student286@university.edu,7.17,Good,Low,[(G-nYXeCx
STU0287,student287@university.edu,9.54,Good,Low,":XYYG0""u>F"
STU0288,student288@university.edu,8.84,Good,Low,p<CzAj;@QT
STU0289,student289@university.edu,3.84,Poor,High,{:dm0wR**}
STU0290,student290@university.edu,3.32,Poor,High,%;\Od'\w\S
STU0291,student291@university.edu,3.11,Poor,High,[>BO}u:KJ*
STU0292,student292@university.edu,8.69,Good,Low,"<!a-""HU-5="
STU0293,student293@university.edu,6.51,Average,Medium,[;yeq(!aa-
STU0294,student294@university.edu,4.34,Poor,High,k'DY(&g$<t
STU0295,student295@university.edu,7.2,Good,Low,"2mi#qxL,xi"
STU0296,student296@university.edu,8.68,Good,Low,zGWv1WhE~I
STU0297,student297@university.edu,8.44,Good,Low,gJB^pQ*<XL
STU0298,student298@university.edu,8.55,Good,Low,vOmNT%6s[3
STU0299,student299@university.edu,8.52,Good,Low,]^X@/Wc[lo
STU0300,student300@university.edu,3.27,Poor,High,}Rh6os.uXY
STU0301,student301@university.edu,3.43,Poor,High,"Z#>lee3""<`"
STU0302,student302@university.edu,3.41,Poor,High,nyBJsz&v+@
STU0303,student303@university.edu,7.74,Good,Low,TxFX.S!I12
STU0304,student304@university.edu,5.84,Average,Medium,E&>(fD-+:<
STU0305,student305@university.edu,8.66,Good,Low,'VrO[_c]6E
STU0306,student306@university.edu,8.37,Good,Low,I4}6WQ8C3j
STU0307,student307@university.edu,9.72,Good,Low,dS?ApMU~.}
STU0308,student308@university.edu,8.94,Good,Low,dsMf]}6I_?
STU0309,student309@university.edu,9.73,Good,Low,O{v(Ar9kWb
STU0310,student310@university.edu,7.99,Good,Low,",KL>bOxt|}"
STU0311,student311@university.edu,7.13,Good,Low,Ru)g_P!dLy
STU0312,student312@university.edu,5.04,Average,Medium,"87P]0mP(""y"
STU0313,student313@university.edu,4.42,Poor,High,wB6rm*;wsb
STU0314,student314@university.edu,7.01,Good,Low,%KC>gIOvY^
STU0315,student315@university.edu,6.09,Average,Medium,Tewo\\2.{(
STU0316,student316@university.edu,4.25,Poor,High,-'Kt^D+cUV
STU0317,student317@university.edu,3.74,Poor,High,4rh541n8|b
STU0318,student318@university.edu,4.3,Poor,High,dzZIH|22`x
STU0319,student319@university.edu,9.89,Good,Low,Pkz?\{Rnpm
STU0320,student320@university.edu,8.05,Good,Low,*RLJn~m2HS
STU0321,student321@university.edu,3.82,Poor,High,m]>`Iw^RL3
STU0322,student322@university.edu,3.62,Poor,High,HU74u={@3<
STU0323,student323@university.edu,8.31,Good,Low,@%?}bsP6m)
STU0324,student324@university.edu,8.02,Good,Low,"JU+hN,q0_w"
STU0325,student325@university.edu,8.67,Good,Low,.DE=c)5<H~
STU0326,student326@university.edu,3.62,Poor,High,dep|_/m*AT
STU0327,student327@university.edu,6.69,Average,Medium,hrAMSh}_1Q
STU0328,student328@university.edu,8.31,Good,Low,kE?*w|C\va
STU0329,student329@university.edu,9.92,Good,Low,(@.'^'Q3gw
STU0330,student330@university.edu,9.72,Good,Low,YS&FOrcK%-
STU0331,student331@university.edu,6.63,Average,Medium,IN+O(CPWt9
STU0332,student332@university.edu,8.2,Good,Low,"%en:Uc+}""E"
STU0333,student333@university.edu,7.55,Good,Low,>])l|hSEYS
STU0334,student334@university.edu,9.43,Good,Low,&}ymu2\b3<
STU0335,student335@university.edu,3.73,Poor,High,"H#;)-2""9_q"
STU0336,student336@university.edu,9.46,Good,Low,"u9=c,{vY$R"
STU0337,student337@university.edu,4.87,Poor,High,b>GQO7d9Wy
STU0338,student338@university.edu,4.41,Poor,High,"4/""Sn(tkD="
STU0339,student339@university.edu,9.39,Good,Low,o4H]PtqrW=
STU0340,student340@university.edu,3.85,Poor,High,^Gc1SG}N&[
STU0341,student341@university.edu,7.61,Good,Low,8N5_;435?O
STU0342,student342@university.edu,5.07,Average,Medium,'^!L`jI[r<
STU0343,student343@university.edu,8.83,Good,Low,CnFj\s8_vG
STU0344,student344@university.edu,6.87,Average,Medium,"57d,cZ_jvj"
STU0345,student345@university.edu,6.31,Average,Medium,->cn{-]lQ*
STU0346,student346@university.edu,9.41,Good,Low,gV@UeabP&D
STU0347,student347@university.edu,5.58,Average,Medium,07gCA8OAmv
STU0348,student348@university.edu,9.1,Good,Low,5`<{nYfoH[
STU0349,student349@university.edu,6.88,Average,Medium,">-eI,}K/Oc"
STU0350,student350@university.edu,5.42,Average,Medium,5n{ieP9!$\
STU0351,student351@university.edu,4.85,Poor,High,cu*A9!riZj
STU0352,student352@university.edu,7.06,Good,Low,Zy}oe.9QE$
STU0353,student353@university.edu,8.48,Good,Low,Z{sqh}N@>]
STU0354,student354@university.edu,7.49,Good,Low,w66pa<#v{a
STU0355,student355@university.edu,3.74,Poor,High,"K2&:>R)3""N"
STU0356,student356@university.edu,5.33,Average,Medium,]7ic<yhkVW
STU0357,student357@university.edu,3.41,Poor,High,zE_aebb]i'
STU0358,student358@university.edu,7.69,Good,Low,"^}X3I6A,6;"
STU0359,student359@university.edu,4.48,Poor,High,"T""lCnyOd!L"
STU0360,student360@university.edu,8.26,Good,Low,"62q8q,<d}5"
STU0361,student361@university.edu,8.99,Good,Low,TEO$I4mP?A
STU0362,student362@university.edu,4.93,Poor,High,fuEb0%'h1A
STU0363,student363@university.edu,8.61,Good,Low,"=g:3""WJs;o"
STU0364,student364@university.edu,6.2,Average,Medium,s.LPRQj;jM
STU0365,student365@university.edu,7.14,Good,Low,o0p]Cd;;w*
STU0366,student366@university.edu,4.02,Poor,High,"p,'yo&&q?("
STU0367,student367@university.edu,6.61,Average,Medium,"UnI""l5X=|e"
STU0368,student368@university.edu,6.93,Average,Medium,e0`@f:@w(2
STU0369,student369@university.edu,7.81,Good,Low,-@mo!D:dzm
STU0370,student370@university.edu,3.13,Poor,High,R\_8<3](p^
STU0371,student371@university.edu,8.51,Good,Low,G7Z3[3GeEX
STU0372,student372@university.edu,4.69,Poor,High,&iv9!JSlJG
STU0373,student373@university.edu,7.85,Good,Low,"t:ijY47Yb"""
STU0374,student374@university.edu,8.07,Good,Low,--7V+<_i85
STU0375,student375@university.edu,4.57,Poor,High,G:XGQ[7c}~
STU0376,student376@university.edu,9.01,Good,Low,8?v.W/6{w+
STU0377,student377@university.edu,6.61,Average,Medium,sQ2UvD4O{Q
STU0378,student378@university.edu,7.17,Good,Low,#NJAIl6NeL
STU0379,student379@university.edu,3.17,Poor,High,/YeaNe80!q
STU0380,student380@university.edu,7.6,Good,Low,+TLhq}EF1(
STU0381,student381@university.edu,8.0,Good,Low,L_G78]@VPP
STU0382,student382@university.edu,8.93,Good,Low,'SAol.Cg:O
STU0383,student383@university.edu,4.82,Poor,High,CgJ#!_R%Oh
STU0384,student384@university.edu,7.79,Good,Low,E1*a+F1lYy
STU0385,student385@university.edu,5.03,Average,Medium,z3nW`n{t)O
STU0386,student386@university.edu,8.12,Good,Low,c3Fv%jKU1}
STU0387,student387@university.edu,8.43,Good,Low,2h.tHH}kLA
STU0388,student388@university.edu,6.85,Average,Medium,!lbB3'P}*+
STU0389,student389@university.edu,7.28,Good,Low,lr*$I1^=\e
STU0390,student390@university.edu,8.3,Good,Low,d\{hI`=?tf
STU0391,student391@university.edu,5.19,Average,Medium,":""Bm{WaqCG"
STU0392,student392@university.edu,4.02,Poor,High,Wcc{34y*VW
STU0393,student393@university.edu,8.35,Good,Low,"6pMp#E""Nd*"
STU0394,student394@university.edu,4.29,Poor,High,"x""@'1Lc]bv"
STU0395,student395@university.edu,6.28,Average,Medium,J<oK(B`c$i
STU0396,student396@university.edu,4.94,Poor,High,<veCN:^xff
STU0397,student397@university.edu,4.37,Poor,High,"iZmAM""ki)3"
STU0398,student398@university.edu,9.58,Good,Low,[RfzAj7BB3
STU0399,student399@university.edu,4.35,Poor,High,}b2XRb~GoM
STU0400,student400@university.edu,3.09,Poor,High,"3)&gYpJN""7"
STU0401,student401@university.edu,5.89,Average,Medium,F_yTw70E@'
STU0402,student402@university.edu,7.75,Good,Low,"q@:'EY""@Zh"
